Type,Name,Total Population,Male,Female,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,Over 85,Median age,Households,Households with kids,Households with senior citizens,Avg household size,Avg family size,Total Housing Units,Occupied Housing Units,Vacant Housing,Rental or Vacation Housing,Owner-occupied Housing,Renter-occupied Housing
F,Lynchburg city,65269,29841,35428,3817,4102,4192,5796,6644,7972,8530,8094,2923,2554,4888,3989,1768,35.1,25477,7868,7167,2.3,2.92,27640,25477,2163,134,14914,10563
F,Manassas city,35135,17868,17267,3020,3053,2776,2509,2486,6116,6464,4589,1348,872,1086,599,217,31.3,11757,5348,1325,2.92,3.39,12114,11757,357,29,8203,3554
F,Manassas Park city,10290,5242,5048,1024,906,810,691,660,2130,1994,1049,324,260,311,108,23,30.3,3254,1633,357,3.16,3.47,3365,3254,111,4,2560,694
F,Martinsville city,15416,6966,8450,867,969,1020,940,762,1778,2332,2020,789,760,1492,1197,490,40.8,6498,2001,2136,2.27,2.89,7249,6498,751,22,3914,2584
F,Newport News city,180150,87178,92972,14228,14404,13457,13136,14930,28448,29485,20773,7375,5761,9758,6515,1880,32,69686,27420,13222,2.5,3.04,74117,69686,4431,226,36513,33173
F,Norfolk city,234403,119830,114573,16546,16508,15072,18926,31983,36620,33569,25010,8143,6494,12979,9693,2860,29.6,86210,30086,18877,2.45,3.07,94416,86210,8206,282,39238,46972
F,Norton city,3904,1757,2147,201,261,239,250,299,509,557,580,212,200,316,204,76,39,1730,516,456,2.23,2.88,1946,1730,216,1,967,763
F,Petersburg city,33740,15426,18314,2165,2433,2522,2226,2151,4393,4883,4460,1759,1501,2692,1897,658,36.9,13799,4667,3779,2.38,2.98,15955,13799,2156,23,7107,6692
F,Poquoson city,11566,5789,5777,587,863,1051,876,463,1041,2052,1953,778,588,766,392,156,39.5,4166,1743,907,2.75,3.08,4300,4166,134,23,3503,663
F,Portsmouth city,100565,48583,51982,7171,7294,7167,7337,8012,14105,15180,12369,4315,3761,6879,5422,1553,34.5,38170,13987,10167,2.51,3.05,41605,38170,3435,121,22356,15814
F,Radford city,15859,7215,8644,561,547,592,2719,4605,1710,1392,1304,531,433,770,538,157,22.8,5809,1200,1099,2.25,2.78,6137,5809,328,30,2588,3221
F,Richmond city,197790,92068,105722,12376,12765,11713,13870,18386,32871,29841,24985,8208,6646,12843,9764,3522,33.9,84549,23459,19421,2.21,2.95,92282,84549,7733,249,39008,45541
F,Roanoke city,94911,44501,50410,6200,6381,5802,5072,5746,14400,14548,13098,4555,3549,7366,5996,2198,37.6,42003,12211,11180,2.2,2.86,45257,42003,3254,175,23637,18366
F,Salem city,24747,11677,13070,1212,1458,1546,1979,1857,2909,3708,3456,1328,1146,2182,1478,488,39.2,9954,3024,2811,2.32,2.84,10403,9954,449,41,6730,3224
F,Staunton city,23853,11237,12616,1241,1285,1331,1652,1661,3104,3531,3345,1282,1121,2113,1601,586,39.8,9676,2663,2938,2.19,2.81,10427,9676,751,38,5939,3737
F,Suffolk city,63677,30410,33267,4618,5076,5223,4269,3049,8514,11313,8505,3283,2559,3988,2496,784,36,23283,9713,5274,2.69,3.09,24704,23283,1421,70,16815,6468
F,Virginia Beach city,425257,210524,214733,30616,33523,33749,30239,31313,69842,75897,53798,17465,12882,20735,11649,3549,32.7,154455,64971,25377,2.7,3.14,162277,154455,7822,2344,101308,53147
F,Waynesboro city,19520,9140,10380,1282,1351,1306,1148,1113,2510,2840,2515,1081,933,1737,1297,407,38.9,8332,2697,2365,2.31,2.85,8863,8332,531,21,5103,3229
F,Williamsburg city,11998,5382,6616,326,304,307,2235,3500,1158,967,957,429,411,713,520,171,22.6,3619,665,952,2.07,2.66,3880,3619,261,65,1602,2017
F,Winchester city,23585,11434,12151,1432,1457,1381,1783,2156,3514,3510,3009,1037,875,1825,1235,371,35.2,10001,2868,2533,2.28,2.93,10587,10001,586,57,4567,5434
A,Abingdon town,7780,3481,4299,381,381,419,427,455,1004,1128,1122,449,414,769,562,269,42.4,3522,891,1050,2.08,2.72,3788,3522,266,45,2045,1477
A,Accomac town,547,311,236,29,14,21,32,45,81,87,76,28,28,48,47,11,40.1,199,48,83,2.13,2.71,235,199,36,7,154,45
S,Adwolf CDP,1457,727,730,70,91,86,86,81,168,255,258,92,73,125,63,9,41.3,587,189,144,2.48,2.79,617,587,30,3,478,109
A,Alberta town,306,142,164,18,28,22,18,12,35,48,44,15,15,33,13,5,39.3,128,39,41,2.39,2.93,158,128,30,5,83,45
A,Alexandria city,128283,61974,66309,7962,5953,4722,4739,9919,32571,23186,17641,6117,3868,5695,4204,1706,34.4,61889,12673,8553,2.04,2.87,64251,61889,2362,523,24745,37144
A,Altavista town,3425,1497,1928,185,211,235,218,151,374,438,480,213,173,358,273,116,42.6,1502,454,522,2.23,2.86,1650,1502,148,2,996,506
A,Amherst town,2251,1032,1219,129,135,151,115,94,238,311,281,132,117,216,190,142,43.4,940,283,333,2.18,2.84,1000,940,60,4,611,329
S,Annandale CDP,54994,26816,28178,3550,3515,3449,2965,3003,8260,9533,8704,3125,2420,3737,2206,527,37.9,19927,6893,4477,2.73,3.18,20243,19927,316,39,13438,6489
A,Appalachia town,1839,854,985,129,142,122,121,129,243,235,249,91,85,135,128,30,37,790,258,245,2.33,2.95,891,790,101,6,486,304
A,Appomattox town,1761,795,966,136,110,114,111,102,213,270,218,78,71,150,127,61,38.7,716,244,229,2.35,2.92,767,716,51,4,469,247
S,Aquia Harbour CDP,7856,3951,3905,460,632,760,727,341,758,1550,1555,460,217,250,123,23,36.9,2569,1244,292,3.06,3.24,2622,2569,53,6,2253,316
S,Arlington CDP,189453,95443,94010,10397,8741,7635,7640,16535,47675,32664,25841,8816,5747,8330,6914,2518,34,86352,18038,13296,2.15,2.96,90426,86352,4074,1526,37370,48982
A,Ashland town,6619,3095,3524,327,367,401,803,891,709,942,802,267,187,413,366,144,32.5,2282,793,554,2.38,2.93,2445,2282,163,6,1368,914
S,Atkins CDP,1138,540,598,70,66,73,67,73,159,164,169,65,66,91,61,14,38.5,494,150,128,2.3,2.81,571,494,77,4,370,124
S,Bailey's Crossroads CDP,23166,11938,11228,1812,1538,1247,1250,1928,4626,3961,2744,966,699,1002,977,416,33.1,8547,2803,1831,2.7,3.4,8813,8547,266,48,3541,5006
S,Bassett CDP,1338,641,697,55,49,94,68,70,157,165,155,102,78,156,120,69,45.5,530,151,210,2.33,2.93,601,530,71,3,393,137
S,Basye-Bryce Mountain CDP,986,501,485,44,57,41,44,28,79,108,158,103,97,160,55,12,51.1,445,87,161,2.22,2.59,1151,445,706,661,382,63
A,Bedford city,6299,2995,3304,354,408,378,363,316,777,975,753,259,294,612,566,244,40.9,2519,769,837,2.26,2.87,2702,2519,183,17,1519,1000
A,Belle Haven town,480,212,268,20,25,23,41,18,48,71,67,21,43,55,32,16,44,220,63,80,2.11,2.62,248,220,28,6,161,59
S,Belle Haven CDP,6269,2922,3347,344,292,302,211,189,1043,1151,1097,412,296,454,377,101,41.4,3116,645,694,2.01,2.77,3220,3116,104,27,2214,902
S,Bellwood CDP,5974,2963,3011,481,547,442,385,354,919,984,735,341,235,328,182,41,33.6,2323,945,428,2.57,3.05,2448,2323,125,5,1409,914
S,Bensley CDP,5435,2702,2733,383,402,380,397,422,912,855,697,246,240,297,174,30,32.9,2252,817,391,2.41,2.97,2368,2252,116,5,1017,1235
A,Berryville town,2963,1328,1635,168,229,187,144,124,313,495,351,142,143,292,253,122,41.3,1239,387,431,2.28,2.9,1312,1239,73,6,739,500
A,Big Stone Gap town,4856,2258,2598,322,309,283,343,303,576,632,745,255,221,397,317,153,39.8,1995,654,575,2.34,2.92,2197,1995,202,3,1290,705
A,Blacksburg town,39573,22140,17433,1157,993,1042,7892,15436,4864,2608,2258,730,643,1018,693,239,21.9,13162,2240,1281,2.37,2.79,13732,13162,570,51,4003,9159
A,Blackstone town,3675,1650,2025,228,243,269,238,189,436,496,432,202,161,342,289,150,40,1430,499,475,2.41,3.06,1581,1430,151,24,883,547
A,Bloxom town,395,196,199,22,19,23,34,36,49,47,54,32,21,24,30,4,37.8,160,47,43,2.47,2.94,175,160,15,4,119,41
A,Bluefield town,5078,2350,2728,209,236,298,369,317,465,663,799,309,280,569,398,166,44.8,2134,516,779,2.23,2.77,2349,2134,215,17,1678,456
S,Blue Ridge CDP,3188,1536,1652,178,206,258,216,93,335,608,608,198,152,227,89,20,40.2,1181,447,233,2.7,2.99,1219,1181,38,3,1078,103
S,Bon Air CDP,16213,7822,8391,819,1082,1277,1544,517,1650,2619,2846,952,686,1249,753,219,40,6308,2169,1531,2.47,2.97,6502,6308,194,10,5236,1072
A,Boones Mill town,285,136,149,7,21,23,13,20,51,43,46,5,13,26,15,2,36.2,131,38,33,2.18,2.82,138,131,7,1,87,44
A,Bowling Green town,936,384,552,49,46,47,33,38,102,112,105,59,39,91,124,91,48.5,387,95,149,2.1,2.81,425,387,38,2,223,164
A,Boyce town,426,220,206,19,32,38,27,16,61,73,61,27,16,36,14,6,37.4,159,54,44,2.68,3.19,168,159,9,1,112,47
A,Boydton town,454,249,205,17,21,20,29,44,54,75,67,16,18,47,36,10,39.5,134,39,58,2.4,2.88,165,134,31,4,106,28
A,Boykins town,620,292,328,41,41,31,42,19,55,96,71,45,41,70,54,14,43,255,76,104,2.43,2.96,287,255,32,1,200,55
A,Branchville town,123,53,70,3,10,10,10,4,9,20,17,5,7,15,11,2,44.1,50,18,23,2.46,2.97,56,50,6,1,39,11
A,Bridgewater town,5203,2341,2862,245,262,310,644,659,543,649,558,199,158,333,401,242,34,1788,551,575,2.31,2.85,1850,1788,62,11,1124,664
A,Bristol city,17367,7825,9542,929,982,1033,1008,1067,2167,2384,2330,976,924,1775,1333,459,41.3,7678,2110,2665,2.18,2.78,8469,7678,791,37,4997,2681
A,Broadway town,2192,1039,1153,159,138,149,135,137,301,366,295,118,82,177,116,19,36.9,882,305,222,2.42,2.91,976,882,94,1,576,306
A,Brodnax town,317,147,170,21,24,23,27,8,41,47,40,14,13,43,14,2,39.3,122,41,46,2.6,3.29,139,122,17,4,81,41
A,Brookneal town,1259,558,701,75,85,101,78,45,134,173,172,46,58,135,104,53,41.8,509,170,187,2.36,2.98,580,509,71,5,326,183
A,Buchanan town,1233,579,654,63,70,77,65,60,178,182,161,71,63,139,84,20,40.6,540,153,190,2.28,2.79,579,540,39,6,424,116
A,Buena Vista city,6349,2944,3405,392,391,404,493,420,825,827,872,354,337,542,352,140,37.9,2547,847,747,2.38,2.87,2716,2547,169,7,1800,747
S,Bull Run CDP,11337,5585,5752,1225,884,598,569,1136,3010,1993,965,294,209,245,166,43,29.1,4728,1767,400,2.4,3.03,4948,4728,220,33,1762,2966
S,Burke CDP,57737,28142,29595,3420,4262,5020,4876,2767,6191,10337,11708,3925,2058,1898,881,394,37.6,19215,8830,2290,2.99,3.3,19367,19215,152,22,16006,3209
A,Burkeville town,489,234,255,22,29,35,38,33,50,73,69,21,28,50,26,15,39.8,206,65,70,2.37,2.95,248,206,42,1,147,59
S,Cana CDP,1228,592,636,66,75,90,73,66,186,175,167,79,84,114,42,11,38.3,520,159,128,2.36,2.9,576,520,56,14,436,84
A,Cape Charles town,1134,491,643,76,63,75,60,58,103,146,149,63,71,132,104,34,44.2,536,135,229,2.11,2.91,740,536,204,82,248,288
A,Capron town,167,85,82,8,11,13,12,6,17,34,15,14,10,11,12,4,40.6,72,23,23,2.32,3.04,79,72,7,0,51,21
S,Castlewood CDP,2036,982,1054,97,108,121,143,103,210,325,342,119,104,225,115,24,42.4,872,261,260,2.32,2.76,950,872,78,1,690,182
S,Cave Spring CDP,24941,11800,13141,1281,1564,1702,1461,1207,3068,3897,4196,1432,1193,2172,1455,313,40.9,10997,3199,2809,2.26,2.84,11556,10997,559,74,7656,3341
A,Cedar Bluff town,1085,512,573,76,69,63,67,51,134,157,159,80,61,81,61,26,40.4,475,149,138,2.28,2.84,535,475,60,3,335,140
S,Centreville CDP,48661,24037,24624,4362,4033,3620,2728,3072,10938,10317,5726,1417,859,958,516,115,31.1,17789,7679,1284,2.74,3.27,18176,17789,387,59,11689,6100
S,Chamberlayne CDP,4380,2062,2318,162,210,231,190,133,389,585,765,338,318,605,357,97,48.6,1884,447,746,2.32,2.73,1916,1884,32,2,1787,97
S,Chantilly CDP,41041,20351,20690,3065,3127,2886,2403,2416,7581,8176,6288,1928,1215,1218,551,187,33.8,14840,5931,1388,2.75,3.24,15173,14840,333,102,10956,3884
A,Charlotte Court House town,404,210,194,15,24,25,21,30,54,55,52,29,19,38,28,14,41,148,40,60,2.39,2.9,177,148,29,2,124,24
A,Charlottesville city,45049,21021,24028,1981,1920,1882,6053,10207,6566,5039,4210,1433,1210,2307,1643,598,25.6,16851,3879,3151,2.27,2.85,17591,16851,740,71,6882,9969
A,Chase City town,2457,1093,1364,178,179,187,121,124,279,299,323,107,124,270,208,58,40,1099,338,434,2.24,2.93,1249,1099,150,9,681,418
A,Chatham town,1338,669,669,65,66,82,67,65,175,183,200,88,69,117,120,41,43.2,554,138,208,2.22,2.87,612,554,58,4,393,161
S,Chatmoss CDP,1742,846,896,97,99,132,99,63,132,303,333,158,95,126,74,31,43.1,678,237,164,2.57,2.88,715,678,37,6,620,58
A,Cheriton town,499,221,278,33,33,31,21,14,48,75,70,22,34,66,38,14,44.2,219,60,95,2.28,2.9,239,219,20,5,155,64
A,Chesapeake city,199184,96728,102456,14272,16138,17121,14931,11186,26807,37602,27506,8955,6822,10227,6086,1531,34.7,69900,31693,12620,2.79,3.17,72672,69900,2772,190,52335,17565
S,Chester CDP,17890,8710,9180,1335,1414,1442,1345,928,2423,3189,2741,913,673,943,457,87,35.2,6727,2885,1087,2.66,3.04,6951,6727,224,24,5109,1618
S,Chesterfield Court House CDP,3558,1790,1768,167,220,269,317,263,550,640,468,164,117,146,136,101,34.9,1139,466,149,2.53,3.06,1171,1139,32,5,771,368
A,Chilhowie town,1827,806,1021,75,99,87,78,75,208,234,256,94,95,192,209,125,47.3,708,199,242,2.22,2.76,775,708,67,3,439,269
A,Chincoteague town,4317,2096,2221,179,200,246,223,165,439,627,677,343,316,519,320,63,46.1,2068,495,659,2.08,2.63,3970,2068,1902,1717,1639,429
A,Christiansburg town,16947,8151,8796,1252,1078,1039,1026,991,3044,2597,2318,874,680,1151,679,218,35.2,7093,2357,1518,2.35,2.86,7430,7093,337,17,4747,2346
A,Claremont town,343,165,178,8,17,26,22,15,32,56,67,27,14,36,17,6,44.3,147,40,43,2.33,2.83,240,147,93,64,119,28
A,Clarksville town,1329,580,749,79,70,84,53,57,187,130,172,89,72,169,136,31,45.4,641,159,259,2.07,2.71,753,641,112,27,455,186
S,Claypool Hill CDP,1719,813,906,87,98,93,103,76,221,244,357,126,97,150,59,8,42.4,710,229,155,2.42,2.74,760,710,50,4,603,107
A,Cleveland town,148,75,73,4,5,3,4,7,20,14,16,11,15,26,17,6,55.3,81,11,35,1.83,2.45,113,81,32,0,52,29
A,Clifton town,185,106,79,12,10,14,11,10,23,37,41,14,5,3,5,0,37.3,67,28,6,2.76,3.06,70,67,3,0,58,9
A,Clifton Forge city,4289,1892,2397,227,251,262,263,188,474,615,525,235,234,453,387,175,42.9,1841,541,666,2.22,2.8,2069,1841,228,6,1153,688
A,Clinchco town,424,196,228,27,26,32,20,25,62,52,58,28,23,31,34,6,39.4,189,66,58,2.24,3,226,189,37,4,133,56
A,Clinchport town,77,42,35,3,6,7,5,4,15,11,7,3,6,8,2,0,34.5,31,12,8,2.48,3.16,38,31,7,2,24,7
A,Clintwood town,1549,709,840,85,59,76,62,101,177,182,216,114,100,168,146,63,46.5,672,167,237,2.1,2.65,756,672,84,9,465,207
S,Cloverdale CDP,2986,1460,1526,183,250,248,209,121,266,582,508,178,128,197,96,20,39,1158,456,226,2.58,3.05,1204,1158,46,2,954,204
A,Coeburn town,1996,964,1032,107,119,124,155,132,269,301,297,94,87,169,112,30,38.6,810,272,229,2.44,2.92,923,810,113,0,563,247
S,Collinsville CDP,7777,3690,4087,476,464,474,444,469,1129,1179,1008,432,367,686,495,154,38.3,3466,1036,942,2.23,2.77,3758,3466,292,6,2159,1307
A,Colonial Beach town,3228,1461,1767,181,192,204,201,136,315,433,442,212,186,379,255,92,43.8,1437,392,524,2.2,2.77,2030,1437,593,415,933,504
A,Colonial Heights city,16897,7901,8996,895,1053,1189,1073,1014,2029,2498,2252,901,849,1624,1176,344,39.9,7027,2250,2161,2.37,2.88,7340,7027,313,21,4871,2156
A,Columbia town,49,20,29,2,0,6,4,2,3,7,12,7,3,1,2,0,47.5,18,7,3,2.72,3.23,22,18,4,0,13,5
A,Courtland town,1270,615,655,68,91,84,78,69,165,178,171,68,55,83,106,54,38.5,460,166,138,2.35,2.96,498,460,38,1,262,198
A,Covington city,6303,3013,3290,395,389,355,352,375,818,837,818,389,301,623,462,189,40.5,2835,791,966,2.22,2.83,3195,2835,360,15,1977,858
A,Craigsville town,979,445,534,60,64,67,77,54,127,163,135,40,37,84,55,16,37.6,413,143,121,2.37,2.98,474,413,61,8,263,150
A,Crewe town,2378,1106,1272,178,192,209,158,135,288,336,266,100,86,220,164,46,35.8,971,370,326,2.45,2.98,1074,971,103,4,616,355
S,Crimora CDP,1796,879,917,95,120,151,113,100,230,315,250,103,108,145,52,14,37.8,724,265,167,2.48,2.92,761,724,37,5,673,51
S,Crozet CDP,2820,1305,1515,196,222,219,179,75,327,487,402,184,127,228,136,38,39.1,995,413,237,2.68,3.07,1041,995,46,3,849,146
A,Culpeper town,9664,4520,5144,730,763,624,648,681,1397,1535,1134,363,337,714,553,185,34.9,3933,1403,1002,2.39,2.97,4139,3933,206,30,1824,2109
S,Dahlgren CDP,997,490,507,56,64,75,66,54,146,159,114,44,50,84,65,20,37.3,456,130,125,2.19,2.85,510,456,54,6,254,202
S,Dale City CDP,55971,27662,28309,4496,5294,5422,4651,3153,8529,10980,7417,2415,1506,1456,532,120,31.4,17623,9398,1660,3.17,3.48,18171,17623,548,18,13712,3911
S,Daleville CDP,1454,730,724,80,103,102,71,41,128,231,254,130,81,150,70,13,44,562,185,161,2.59,2.85,573,562,11,2,545,17
A,Damascus town,981,454,527,41,55,41,56,44,108,141,136,84,58,100,94,23,45.3,484,107,178,2.03,2.72,543,484,59,17,295,189
A,Danville city,48411,22024,26387,2910,3114,3300,3141,2681,5563,6772,6687,2504,2237,4702,3584,1216,40.5,20607,6301,6792,2.27,2.89,23108,20607,2501,83,11975,8632
A,Dayton town,1344,666,678,92,92,94,78,59,202,249,147,60,61,118,77,15,37.2,542,182,147,2.48,2.97,565,542,23,1,340,202
A,Dendron town,297,131,166,24,21,22,12,21,40,28,45,13,13,23,25,10,38.3,106,42,43,2.8,3.4,121,106,15,4,91,15
A,Dillwyn town,447,185,262,26,20,24,28,13,47,49,58,26,24,43,52,37,48.3,176,57,63,2.16,2.63,200,176,24,0,88,88
S,Dooms CDP,1282,624,658,53,87,85,70,41,144,235,201,91,75,128,57,15,42,522,165,146,2.4,2.77,553,522,31,0,456,66
A,Drakes Branch town,504,237,267,20,30,31,30,25,56,67,68,41,34,52,42,8,44,231,57,75,2.18,2.81,262,231,31,1,152,79
S,Dryden CDP,1253,595,658,86,87,82,61,75,178,165,191,74,54,87,71,42,39.1,453,166,103,2.49,2.96,507,453,54,5,305,148
A,Dublin town,2288,1192,1096,147,122,90,128,223,451,329,292,120,84,157,123,22,34.5,911,260,234,2.13,2.79,969,911,58,5,429,482
A,Duffield town,62,28,34,3,5,3,2,3,8,8,9,5,8,4,3,1,44.5,25,8,6,2.48,2.85,30,25,5,1,22,3
S,Dumbarton CDP,6674,2938,3736,388,363,285,343,642,1314,915,631,220,221,542,618,192,35,3515,790,1099,1.89,2.72,3782,3515,267,11,918,2597
A,Dumfries town,4937,2454,2483,504,493,467,408,333,716,941,546,180,118,163,51,17,29,1573,822,182,3.13,3.51,1699,1573,126,1,1004,569
A,Dungannon town,317,150,167,18,23,20,27,19,37,49,50,12,18,25,14,5,39.1,132,50,38,2.4,2.96,149,132,17,2,93,39
S,Dunn Loring CDP,7861,3986,3875,613,514,497,393,362,1200,1477,1222,390,341,554,232,66,36.9,2668,1014,546,2.9,3.18,2711,2668,43,8,2172,496
S,East Highland Park CDP,12488,5722,6766,721,948,956,814,664,1601,2090,1869,726,550,844,532,173,37.4,4960,1801,1071,2.48,3.02,5226,4960,266,26,3563,1397
A,Eastville town,203,114,89,6,5,15,15,25,15,38,36,2,9,24,8,5,40.8,69,21,28,2.2,2.84,75,69,6,0,50,19
A,Edinburg town,813,391,422,40,43,43,32,57,121,103,108,55,37,84,58,32,41.4,385,87,130,2.09,2.71,425,385,40,4,201,184
A,Elkton town,2042,964,1078,121,130,138,136,130,296,328,247,111,100,161,108,36,37,862,272,215,2.34,2.86,919,862,57,2,492,370
S,Elliston-Lafayette CDP,1241,596,645,88,106,86,86,87,173,218,144,64,55,65,52,17,34.6,489,192,103,2.53,2.97,533,489,44,5,380,109
S,Emory-Meadow View CDP,2266,1110,1156,99,86,92,397,415,180,266,268,117,79,132,95,40,27.2,652,220,178,2.47,2.91,712,652,60,10,503,149
A,Emporia city,5665,2576,3089,351,403,436,387,305,646,803,643,278,245,503,455,210,38.8,2226,758,753,2.43,3.05,2412,2226,186,11,1162,1064
S,Ettrick CDP,5627,2476,3151,240,276,284,1312,1134,558,600,468,137,127,269,179,43,21.7,1517,572,364,2.51,3.03,1673,1517,156,2,970,547
S,Ewing CDP,436,204,232,22,32,36,25,26,50,58,67,14,34,40,24,8,39.6,183,63,55,2.38,2.91,216,183,33,5,134,49
A,Exmore town,1136,534,602,71,67,92,86,60,142,138,145,65,54,114,60,42,38.6,475,157,161,2.39,2.95,524,475,49,1,302,173
A,Fairfax city,21498,10484,11014,1289,1214,1185,1165,1531,3586,3655,3049,1181,890,1455,950,348,37,8035,2449,1751,2.61,3.07,8204,8035,169,30,5550,2485
S,Fairlawn CDP,2211,1042,1169,119,128,109,90,139,334,299,318,132,103,208,156,76,40.8,995,253,275,2.16,2.68,1065,995,70,4,703,292
S,Fairview Beach CDP,230,119,111,10,8,7,13,17,23,31,42,18,11,27,20,3,46.3,112,22,33,2.05,2.56,222,112,110,90,87,25
